firearm_type,price,link,stock_status
"Savage - Mark II F Stainless 21"" 22 LR",$250.95,https://gricewholesale.com/sav24700-savage-mkii-fss-22lr-20-75-at.html,ADD TO CART
"Savage - Mark II F 21"" 22 LR",$193.95,https://gricewholesale.com/sav26700-savage-mkii-f-22lr-20-75-at.html,ADD TO CART
"Savage - Mark II FV-SR 16.5"" 22 LR",$219.95,https://gricewholesale.com/sav28702-savage-mkii-fv-sr-22lr-16-5-at.html,ADD TO CART
"Taurus - PT22 DAO 8rd 2.33"" 22 LR",$198.95,https://gricewholesale.com/tar1220031ply-taurus-pt22-22lr-polymer-blue-dao.html,OUT OF STOCK
"Taurus - Judge Public Defender 5rd 2.5"" 45 Colt / 410",$367.95,https://gricewholesale.com/tar2441029tcply-taurus-45-410-2-poly-sts-2-5-cham.html,OUT OF STOCK
"Taurus - Judge 5rd 3"" 45 Colt / 410",$399.95,https://gricewholesale.com/tar2441031t-taurus-45-410-3-bbl-blue-2-5-cham.html,OUT OF STOCK
"Taurus - Judge 5rd 6.5"" 45 Colt / 410",$399.95,https://gricewholesale.com/tar2441061t-taurus-45-410-6-5-bbl-blue-2-5-cham.html,OUT OF STOCK
Thompson Center - Quick Shot 50 Caliber,$4.15,https://gricewholesale.com/tcr7028-t-c-quickshot-50cal.html,ADD TO CART
Thompson Center - Powder Measure Rifle (50-120 grain),$8.70,https://gricewholesale.com/tcr7040-t-c-powdermeasure-rifle-50-120gr.html,ADD TO CART
Thompson Center - Cleaning & Seasoning Patches,$5.00,https://gricewholesale.com/tcr7147-t-c-cleaning-seasoning-patches.html,ADD TO CART
Thompson Center - U-View Powder Measure,$8.35,https://gricewholesale.com/tcr7222-t-c-powdermeasure-u-view.html,ADD TO CART
Thompson Center - T17 Cleaning & Seasoning Patches 45 & 50 Caliber,$6.95,https://gricewholesale.com/tcr7477-t-c-t17-cleaning-seasoningpatches50.html,ADD TO CART
Traditions - Brass 209 Capper,$13.50,https://gricewholesale.com/trda1418-traditions-209-capper-brass.html,ADD TO CART
Traditions - Flintlock Shooter's Kit,$37.95,https://gricewholesale.com/catalog/product/view/id/18568/s/trda3700-traditions-flintlock-shooters-kit/category/10/,ADD TO CART
"Charter Arms - Off Duty 5rd 2"" 38 Spl",$298.95,https://gricewholesale.com/cha53811-charter-arms-off-duty-38spl-alum-2.html,ADD TO CART
"Charter Arms - Undercover Lite Lavender 5rd 2"" 38 Spl",$295.95,https://gricewholesale.com/cha53840-charter-arms-lav-lady-38spl-sts-2.html,ADD TO CART
"Charter Arms - Undercover Lite Blue Diamond 5rd 2"" 38 Spl",$308.95,https://gricewholesale.com/cha53879-charter-arms-the-tiffany-38spl-blue-sts-2.html,ADD TO CART
CVA - PowerBelt 50Cal 295gr Aero 15pk,$15.25,https://gricewholesale.com/cvaac1595at-cva-powerbelt-50cal-295gr-aero-15pk.html,ADD TO CART
"Walther - PPQ 22 SD 12rd 4"" 22 LR",$359.00,https://gricewholesale.com/wth5100301-walther-ppq-m2-tactical-22lr-black-4-12rd.html,OUT OF STOCK
"Henry - Golden Boy 20"" 22 LR",$479.95,https://gricewholesale.com/henh004-henry-golden-boy-22lr-20-bbl.html,OUT OF STOCK
Hornady 45Cal (.440) Round Ball,$8.75,https://gricewholesale.com/catalog/product/view/id/18830/s/hrn6040-hornady-45cal-440-round-ball/category/10/,ADD TO CART
Hornady 50Cal 385gr HP GreatPlains,$8.45,https://gricewholesale.com/hrn6620-hornady-50cal-385gr-hp-greatplains.html,ADD TO CART
"Kimber - 1911 Ultra Aegis II 9rd 3"" 9mm",$999.95,https://gricewholesale.com/kim3200159-kimber-ultra-aegis-ii-9mm-3.html,OUT OF STOCK
"Mossberg - Patriot Youth Super Bantam Scoped Combo 20"" 243 Win",$355.95,https://gricewholesale.com/mos27840-moss-patriot-youth-243-20-w-3x9.html,OUT OF STOCK
"Charter Arms - Undercover 5rd 2"" 38 Spl",$257.95,https://gricewholesale.com/cha13820-charter-arms-undercover-38spl-blk2-full.html,OUT OF STOCK
"Charter Arms - Chic Lady Lavender 5rd 2"" 38 Spl",$343.95,https://gricewholesale.com/cha53849-charter-arms-chic-lady-38spl-lavender-2.html,OUT OF STOCK
Hornady 50Cal (.490) Round Ball,$10.95,https://gricewholesale.com/hrn6090-hornady-50cal-490-round-ball.html,ADD TO CART
Hornady 50Cal (.495) Round Ball,$10.95,https://gricewholesale.com/hrn6093-hornady-50cal-495-round-ball.html,ADD TO CART
"CZ - Wingshooter Elite Over/Under 28"" 12ga",$990.95,https://gricewholesale.com/czg06455-cz-wingshooter-elite-12ga-28.html,ADD TO CART
"CZ - P-01 14rd 3.75"" 9mm",$651.95,https://gricewholesale.com/czg91199-cz-p01-9mm-poly-black-hicap.html,ADD TO CART
"Browning - AB3 Composite Stalker 22"" 30-06 Sprg",$535.95,https://gricewholesale.com/brg035800226-brown-ab3-comp-stkr-ns-30-06.html,OUT OF STOCK
"Browning - AB3 Hunter 22"" 30-06 Sprg",$608.95,https://gricewholesale.com/brg035801226-browning-abolt-iii-hunter-ns-30-06.html,OUT OF STOCK
"Browning - X-Bolt Hunter 22"" 30-06 Sprg",$851.95,https://gricewholesale.com/brg035208226-brown-x-bolt-hunter-ns-30-06.html,OUT OF STOCK
"Browning - X-Bolt Hunter 22"" 308 Win",$851.95,https://gricewholesale.com/catalog/product/view/id/19765/s/brg035208218-brown-x-bolt-hunter-ns-308/category/10/,OUT OF STOCK
"Browning - X-Bolt Hunter 22"" 243 Win",$851.95,https://gricewholesale.com/brg035208211-brown-x-bolt-hunter-ns-243.html,OUT OF STOCK
"Browning - X-Bolt Hunter 26"" 300 Win Mag",$882.95,https://gricewholesale.com/brg035208229-brown-x-bolt-hunter-ns-300.html,OUT OF STOCK
Hodgdon - Pyrodex P (Pistol) 1 lb,$21.90,https://gricewholesale.com/hodp-hodgdon-p-1.html,ADD TO CART
Hornady 45Cal (.457) Round Ball,$13.95,https://gricewholesale.com/hrn6080-hornady-45cal-457-round-ball.html,OUT OF STOCK
